production_dataset,table_name
,patents_last_10_years
patent_clusters,academic_assignees
patent_clusters,ai_pred
patent_clusters,ai_subfields
patent_clusters,assignee_type
patent_clusters,assignees
patent_clusters,biotech_pred
patent_clusters,biotech_subfields
,broad_category_staging
patent_clusters,broad_category
patent_clusters,citation_core
,citing_to_cited
,patents_with_citations
patent_clusters,core
,cluster_multi_country_filing_counts
,cross_filing
,cross_filing_percentage
patent_clusters,cybersecurity_pred
patent_clusters,cybersecurity_subfields
,grant_rates
,modularity
,nlinks
,growth
,import_export_view
patent_clusters,industry_assignees
patent_clusters,inventors
patent_clusters,most_cited_papers
patent_clusters,most_cited_patent_families
patent_clusters,most_cited_research_clusters
patent_clusters,paper_affiliations
,patent_category_staging
patent_clusters,patent_category
patent_clusters,patent_class
,paper_count
patent_clusters,phrases
patent_clusters,priority_country
patent_clusters,priority_year
patent_clusters,robotics_pred
patent_clusters,robotics_subfields
patent_clusters,semiconductors_pred
,sum_imports_exports
,top_patent_stats
,very_broad_category_staging
,very_broad_category
patent_clusters,cluster_description
